"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515","region","gender","age","education"
"64",312,3,2,4,2,4,4,4,3,5,3,5,5,4,4,4,1,2,57,3
"65",316,4,4,4,2,4,4,4,5,4,5,4,4,5,4,5,1,2,30,10
"66",318,4,2,4,2,4,2,4,4,4,4,2,4,4,2,2,1,1,51,7
"67",322,5,4,5,5,5,2,4,2,4,4,4,4,2,2,4,1,1,81,3
"68",326,3.71231884057971,1,5,2,4,5,5,3.5040500736377,4,4,5,5,1,4,4,1,2,30,7
"69",327,5,4,5,1,5,5,5,5,5,4,5,4,5,1,5,1,1,28,10
"70",330,4,2,4,2,4,2,4,3,3,3,3,3,3,2,4,1,1,24,9
"71",334,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4,1,1,56,6
"72",340,5,1,5,2.32650273224044,5,4,4,5,5,5,5,1,5,1,5,1,1,51,4
"73",344,3.71231884057971,4,5,1,4,4,4,5,1,5,4,4,5,5,5,1,2,66,6
"74",353,2,5,5,2,4,2,4,4,5,4,5,5,5,5,5,1,2,32,10
"75",354,4,5,5,2,5,2,4,4,4,4,4,4,2,2,4,1,1,31,11
"76",355,5,5,5,2,5,4,5,3,4,4,5,4,4,3,5,1,1,28,10
"77",364,4,3,3,4,3,2,4,2,4,2,3,3,4,2,5,1,2,26,10
"78",365,4,4,4,2,4,4,5,5,5,4,5,5,5,2,5,1,2,31,12
"79",368,3,1,4,1,4,3,5,4,3,3,3,3,4,1,4,1,2,58,3
"80",370,5,5,5,1,5,1,5,2,5,5,5,1,5,1,5,1,2,51,6
"81",371,4,5,4,1,5,5,5,5,5,5,2,5,4,4,4,1,1,20,6
"82",372,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,1,1,64,12
"83",373,2,4,4,2,4,4,5,4,4,4,2,4,4,4,4,1,2,29,6
"84",376,3,5,4,2,5,1,5,5,5,4,4,2,5,1,5,1,2,21,12
"85",379,4,4,4,2,3,4,4,5,4,3,4,4,4,4,4,1,1,38,11
"86",381,5,4,5,2,5,3,5,5,4,5,3,4,4,3,5,1,2,20,7
"87",382,4,4,4,1,4,2,5,4,5,5,4,5,4,2,4,1,2,37,9
"88",383,5,1,5,1,3.91554959785523,1,5,1,5,1,5,2,3.89578250261415,2.77097345132743,5,1,1,53,6
"89",385,5,1,5,1,5,5,5,5,1,5,1,5,5,5,1,1,1,34,12
"90",386,4,4,4,3,3,2,2,3,4,3,3,4,2,2,3,1,2,20,10
"91",397,2,1,2,2,2,2,5,2,4,5,1,4,2,4,2,1,2,32,4
"92",403,3,4,4,3,4,4,4,4,4.06256481161424,3,4,3.39461883408072,4,4,3.81396981396981,1,2,55,3
"93",409,2,2,2,2,4,4,2,2,4,2,4,4,2,4,4,1,1,25,5
"94",413,4,3,4,2,3,4,4,3,4,4,5,3,4,2,4,1,1,65,9
"95",415,3,2,4,2,4,3,3,3,4,2,3,3,3,2,3,1,1,40,7
"96",416,4,5,4,4,4,2.92810902896082,4,4,4,4,4,4,4,2.77097345132743,4,1,2,42,4
"97",421,4,4,4,3,4,5,1,5,5,1,4,5,4,3,2,1,1,21,12
"98",423,3.71231884057971,4,4,2,4,3,4,4,5,4,4,3,3,4,4,1,2,30,12
"99",425,3.71231884057971,4,5,1,5,1,5,3.5040500736377,5,4,3.89625668449198,5,1,5,2,1,1,53,7
"100",427,3.71231884057971,4,3,2,4,1,4,4,4,4,5,4,4,2,4,1,2,59,6
"101",429,3,2,5,2,5,4,3,5,3,5,5,3,5,2,5,1,2,24,11
"102",431,2,4,4,3,5,4,5,4,5,4,5,4,5,1,5,1,1,42,9
"103",436,4,2,4,2,2,3,3,2,4,2,3,3,3,4,4,1,1,58,4
"104",438,5,5,5,1,5,4,5,5,5,5,5,5,5,1,5,1,2,45,4
"105",439,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,1,2,47,6
"106",442,3.71231884057971,5,3,3,3,3,3,2,3,4,3,4,3,2,3,1,2,76,3
"107",445,4,5,4,3,4,2,4,4,4,4,2,5,5,3,4,1,2,21,10
"108",446,5,1,4,1,4,4,4,4,2,5,2,2,4,2,4,1,1,75,NA
"109",447,4,4,4,3,4,4,5,5,4,5,4,4,4,3,4,1,1,19,6
"110",449,3,3,2,3,3,3,4,3,2,3,3,2,3,5,3,1,1,65,3
"111",455,4,5,5,4,4,5,5,1,5,5,5,5,1,5,4,1,1,23,9
"112",456,4,2,5,2,4,3,4,4,4,4,3,2,4,4,4,1,1,49,6
"113",462,4,3,4,2,4,4,4,4,4,4,4,3,4,2,4,1,2,49,10
"114",463,4,4,4,2,4,2,5,5,5,4,5,5,5,4,4,1,1,23,12
"115",464,5,5,5,1,5,2,5,2,5,5,5,1,5,2,4,1,2,33,4
"116",467,4,4,5,1,5,1,5,4,5,5,5,5,5,1,5,1,2,62,3
"117",471,5,3,5,1,5,1,5,1,5,4,5,1,4,2.77097345132743,5,1,2,65,3
"118",473,5,4,5,2,5,2,5,2,4,4,5,4,4,2,5,1,1,41,4
"119",474,5,4,4,2,4,2,4,4,5,5,4,4,5,1,5,1,2,58,3
"120",477,5,4,5,4,5,1,5,4,5,1,4,1,5,2,4,1,1,39,4
"121",480,4,3.22091062394604,5,2.32650273224044,5,4,5,2,4,4,4,4,5,3,5,1,1,61,4
"122",482,5,4,5,2,5,4,5,2,4.06256481161424,4,5,1,5,2.77097345132743,5,1,2,63,3
"123",496,5,2,4,1,5,1,5,4,5,5,5,1,5,1,5,1,1,47,7
"124",500,4,2,4,2,2,2,5,2,4,3,4,2,4,2,4,1,2,72,7
"125",501,2,2,4,1,4,2,4,4,2,3.4861646234676,2,4,4,4,4,1,1,38,7
"126",502,3.71231884057971,3.22091062394604,4,3,4,3,4,3,3,3,3,4,3,3,3,1,1,82,1
"127",506,5,5,4,4,5,4,5,4,5,3,3,2,3,2,3.81396981396981,1,1,42,6
"128",508,3,3,4,4,5,3,5,3,3,4,3,4,4,3,3,1,1,29,4
"129",509,3,4,4,3,2,2,4,2,4,2,2,2,2,4,2,1,2,52,4
"130",514,4,2,4,4,5,5,4,5,5,5,3.89625668449198,2,5,2,4,1,2,53,3
"131",517,5,1,3,2,2,3,4,2,4,2,4,2,4,2,4,1,1,40,3
"132",523,3.71231884057971,1,5,2,5,1,5,4,4,4,3,3,3,2,4,1,1,51,6
"133",524,3.71231884057971,2,4,2,2,5,4,5,5,4,3.89625668449198,3.39461883408072,4,2,4,1,1,61,3
"134",532,1,2,4,2,5,2,2,4,4.06256481161424,4,3.89625668449198,1,3.89578250261415,2,4,1,2,56,4
"135",533,4,4,4,4,2,4,5,4,4,4,4,4,5,4,3,1,2,24,6
"136",534,4,4,4,4,4,2.92810902896082,4,4,3,3,3.89625668449198,3,3,3,3,1,2,36,3
"137",535,4,2,4,2,4,4,1,4,4,4,2,2,4,2,4,1,1,60,4
"138",536,3.71231884057971,4,4,2,4,2.92810902896082,4,3,2,3,3.89625668449198,4,4,4,3.81396981396981,1,2,36,3
"139",540,4,5,4,2,4,2,5,5,4,5,5,5,5,4,5,1,1,20,12
"140",543,4,4,5,3,5,4,5,3,5,3.4861646234676,5,5,4,3,4,1,1,40,3
"141",544,4,2,4,3,5,4,4,4,4,3,4,3,4,3,5,1,2,21,3
"142",545,3,4,4,3,4,5,5,3,5,1,5,4,3,3,1,1,1,73,3
"143",548,4,1,3,2,4,4,4,4,2,3,5,2,4,2,3,1,2,53,1
"144",550,2,4,3,2,2,2,3,2,4,3,4,4,4,3,4,1,2,37,3
"145",555,3,3,3,4,5,3,5,3,5,3.4861646234676,3,3,4,2.77097345132743,5,1,2,34,3
"146",557,4,4,4,3,4,2,4,4,4,4,4,3,4,4,4,1,2,27,7
